timeOpen;e_open;e_high;e_low;e_close
9-Feb-2023;120952.701123098;120952.701123098;112292.7059514224;112951.8572323178
8-Feb-2023;120020.5101150192;121213.7462177605;119101.6053585133;120925.9282279117
7-Feb-2023;115511.7669382636;120156.3745644203;115429.8048517258;120027.5684451197
6-Feb-2023;115273.4063063345;118240.6687372452;115176.4851801188;115528.7433629951
5-Feb-2023;117779.3492520092;118104.591619767;114192.3020393528;115273.4481267847
4-Feb-2023;117592.9834867799;119399.4937135619;116444.5687920821;117771.7735665607
3-Feb-2023;115129.972018653;118243.5756968028;114910.4169223515;117612.2910005892
2-Feb-2023;114780.8358966676;119422.8619726312;114777.8056736381;115153.580473513
1-Feb-2023;111982.2803528014;115015.9083677822;109797.5170307427;114810.6779970603
31-Jan-2023;109609.7837625912;112831.3790291642;109333.3648399257;111985.6168210031
30-Jan-2023;116423.8647626589;116459.5036782206;108158.0973357893;109603.250525173
29-Jan-2023;109685.6732455086;116959.7746729987;109431.4706860595;116424.4263934446
28-Jan-2023;111463.9311513695;111922.7736257185;109180.7522805643;109672.1128345793
27-Jan-2023;111402.3691721326;112780.4310095265;108773.1082252857;111466.1001174104
26-Jan-2023;111532.0991782673;112980.1235036094;110103.9674447854;111404.1644691957
25-Jan-2023;107538.0204117924;112931.0544880158;105572.269123738;111575.7174046905
24-Jan-2023;112265.3972217082;113084.4025516616;107163.7927448171;107523.9835750156
23-Jan-2023;111151.6609653482;112776.3148844768;110546.8043829562;112293.1748412469
22-Jan-2023;111594.9979165908;113163.2216999702;110027.8858453658;111140.142266505
21-Jan-2023;113812.685596193;114805.1707660455;111557.0731107926;111578.0063335951
20-Jan-2023;107728.918890501;113825.0099630372;106159.0361510994;113815.980640438
19-Jan-2023;104176.6790034144;108123.1466140043;104116.8950578611;107741.6073546394
18-Jan-2023;107814.0946647469;110186.154711475;104069.4202698911;104194.3757016826
17-Jan-2023;108429.5404152694;110528.6357775254;106714.17203984;107824.2111607776
16-Jan-2023;102470.3756910164;109590.2468916219;102470.3756910164;108410.7049574761
15-Jan-2023;107000.4656953894;107000.4656953894;102467.750434907;102467.750434907
14-Jan-2023;100148.5580940954;107897.9883336662;100118.1936342003;106998.764308803
13-Jan-2023;96115.4860548395;100855.4072546081;95171.760837858;100161.415209755
12-Jan-2023;95969.4331310831;97087.1850194588;93436.3459338035;96114.9642070577
11-Jan-2023;93119.7283007703;95981.8672021483;91061.79776395;95981.8672021483
10-Jan-2023;92385.3496938619;93563.3140128863;92204.6990395435;93126.6495104084
9-Jan-2023;93343.6765782072;93829.2948010355;92395.3822287454;92395.3822287454
8-Jan-2023;91653.1777375174;93337.0534408142;91366.4300503917;93337.0534408142
7-Jan-2023;92032.9197723094;92118.3660792321;91514.6445898116;91659.5883634605
6-Jan-2023;90220.7087950787;92308.4625656757;90220.7087950787;92029.9663389155
5-Jan-2023;91115.6337630382;91266.9728643832;90219.2315018854;90219.2315018854
4-Jan-2023;88730.3559424378;92330.9375038723;88621.963302485;91118.6795966596
3-Jan-2023;86243.8191076378;88734.7554890169;86243.8191076378;88734.7554890169
2-Jan-2023;88521.3139354605;88521.3139354605;86237.6164786108;86237.6164786108
